Country,Region,IncomeGroup,Cluster,Life expectancy,GDP,Schooling,Adult Mortality,HIV/AIDS,Sanitation,Undernourishment,Health Expenditure %,CO2
Malaysia,East Asia & Pacific,Upper middle income,1,73.84666666666666,5202.2566106,12.626666666666667,116.53333333333333,0.1,68.583328534,3.3133333333333335,3.1560830120000003,186034.6675211588
Maldives,South Asia,Upper middle income,1,75.93333333333334,3927.3169516666667,12.046666666666665,79.46666666666667,0.1,47.891129819999996,6.6,8.521527704666665,906.6666669845587
Mali,Sub-Saharan Africa,Low income,2,55.28,547.9230892466666,6.566666666666666,213.13333333333333,1.78,11.504908429199999,9.193333333333333,4.7310703106666665,2356.666651407878
Malta,Middle East & North Africa,High income,3,80.55333333333333,10713.146799333334,14.34,64.26666666666667,0.1,91.86797469,2.5,8.22251606,2501.3333075841283
Marshall Islands,East Asia & Pacific,Upper middle income,3,72.65666666666667,3617.752354,0.0,141.23333333333335,0.1,47.891129819999996,6.6,16.704207739333334,134.66666692495312
Mauritania,Sub-Saharan Africa,Lower middle income,2,62.986666666666665,645.5545080066667,7.38,169.06666666666666,1.1933333333333331,47.891129819999996,8.2,3.2123289893333338,2145.9999974568686
Mauritius,Sub-Saharan Africa,Upper middle income,1,72.82666666666667,5395.4635358666665,13.626666666666667,162.66666666666666,0.10666666666666667,47.891129819999996,5.113333333333333,4.055262151333333,3334.000019709269
Mexico,Latin America & Caribbean,Upper middle income,1,75.78,5479.758118533334,12.386666666666667,109.86666666666666,0.1,30.401921952666665,4.36,5.650240708,444431.99755859387
Monaco,Europe & Central Asia,High income,1,72.65666666666667,3045.0455303666668,12.406666666666666,141.23333333333335,0.1,100.0,6.6,2.059966994,9765.000343322754
Mongolia,East Asia & Pacific,Lower middle income,1,66.09333333333333,2085.386335153333,12.92,218.66666666666666,0.1,40.043800557333334,21.353333333333335,4.006102784,13435.333424886061
Montenegro,Europe & Central Asia,Upper middle income,1,74.6,4879.786634,11.433333333333334,89.33333333333333,0.1,34.53875643933333,4.4,8.314111614,2159.333311398824
Morocco,Middle East & North Africa,Lower middle income,1,72.39333333333335,1976.6587104,10.44,100.46666666666667,0.1,35.375547340666664,5.14,5.16618236,48450.66677856445
Mozambique,Sub-Saharan Africa,Low income,2,53.68666666666666,370.8962100133333,8.16,238.46666666666667,11.333333333333334,47.891129819999996,28.973333333333336,4.677309036,2774.0000031789136
Myanmar,East Asia & Pacific,Lower middle income,2,64.34,644.3841489,8.38,148.4,0.48000000000000004,60.467003930000004,18.553333333333335,2.644358682666667,10814.666817982992
Namibia,Sub-Saharan Africa,Upper middle income,2,60.6,3228.2440361333333,11.553333333333335,331.3333333333333,13.033333333333333,47.891129819999996,21.446666666666665,9.708589872666666,2987.9999930063886
Nauru,East Asia & Pacific,High income,1,72.65666666666667,136.18321,9.6,141.23333333333335,0.1,47.891129819999996,6.6,12.661460782,54.66666630903879
Nepal,South Asia,Lower middle income,2,66.74666666666667,406.2553298066667,10.533333333333333,141.2,0.16000000000000003,23.505096426,13.253333333333334,4.194713164,4246.66666730245
Netherlands,Europe & Central Asia,High income,3,81.33333333333333,35567.625920666665,17.09333333333333,60.13333333333333,0.1,97.45976700066667,2.5,9.585195033333333,163370.66581217453
New Zealand,East Asia & Pacific,High income,3,81.52,14851.183314,18.98,70.46666666666667,0.1,78.63801910933333,2.5,8.793133322666668,32406.666636149082
Nicaragua,Latin America & Caribbean,Lower middle income,1,73.48,1014.0126158,11.18,160.4,0.21333333333333335,47.891129819999996,21.8,6.931809267333334,4535.333358764648
